HKG,FUK,2019-01-01,2019-01-08
HKG,FUK,2019-01-02,2019-01-09
HKG,HIJ,2019-01-01,2019-01-08
HKG,HIJ,2019-01-02,2019-01-09
HKG,ISG,2019-01-01,2019-01-08
HKG,ISG,2019-01-02,2019-01-09
HKG,KOJ,2019-01-01,2019-01-08
HKG,KOJ,2019-01-02,2019-01-09
HKG,KMJ,2019-01-01,2019-01-08
HKG,KMJ,2019-01-02,2019-01-09
HKG,NGS,2019-01-01,2019-01-08
HKG,NGS,2019-01-02,2019-01-09
HKG,NGO,2019-01-01,2019-01-08
HKG,NGO,2019-01-02,2019-01-09
HKG,KIX,2019-01-01,2019-01-08
HKG,KIX,2019-01-02,2019-01-09
HKG,TAK,2019-01-01,2019-01-08
HKG,TAK,2019-01-02,2019-01-09
HKG,TYO,2019-01-01,2019-01-08
HKG,TYO,2019-01-02,2019-01-09
